value,label
70161560022001,Lincoln Elem School
70161570021001,Schrum Memorial School
70161570022001,Hoover Elem School
70161580021004,Memorial Jr High School
70161580022001,Coolidge Elementary School
70161580022005,Oak Glen Elem School
70161580022006,Reavis Elem School
70161590021001,Colin Powell Middle Sch
70161590022002,Sieden Prairie Elementary School
70161590022004,Neil Armstrong Elem School
70161590022005,Woodgate Elem School
70161590022006,Marya Yates Elementary School
70161600021001,Southwood Middle School
70161600022003,Zenon J Sykuta  School
70161600022004,Meadowview  School
70161610021003,Parker Junior High School
70161610022001,Flossmoor Hills Elem School
70161610022002,Heather Hill Elem School
70161610022006,Serena Hills Elem School
70161610022007,Western Avenue Elem School
70161620021004,O W Huth Middle School
70161620022001,Arcadia Elem School
70161620022003,Indiana Elem School
70161620022005,Matteson Elem School
70161620022008,Sauk Elem School
70161620022009,Illinois School
70161630021010,Michelle Obama Sch of Technology
70161630022002,Barack Obama Sch of Ldership
70161630022003,Blackhawk Primary Center
70161630022007,Mohawk Primary Center
70161630022008,21st Century Primary Center
70161670021002,Brookwood Jr High School
70161670022001,Brookwood Middle School
70161670022003,Longwood Elem School
70161670022004,Hickory Bend Elem School
70161680041003,Rickover Jr High School
70161680042001,Strassburg Elem
70161680042002,Wagoner Elem
70161690021001,Cottage Grove Upper Grade Center
70161690022002,Medgar Evers Primary Acadmc Cntr
70161700022001,Washington-McKinley Elem Sch
70161700022002,Roosevelt Elem School
70161700022005,Wilson Elem School
70161700022007,Garfield Elem School
70161700022008,U S Grant Elem School
70161700022009,Greenbriar Elem School
70161700022011,Jefferson Elem School
70161700022012,Kennedy Elem School
70161700022013,Lincoln Elem School
70161710021001,Heritage Middle School
70161710022001,Nathan Hale Elem School
70161720022001,Sandridge Elem School
70161940021001,Columbia Central School
70161940022002,Steger Intermediate Center
70161940022005,Steger Primary Center
70162050170001,Thornton Township High School
80083140261001,West Carroll Middle School
70162050170002,Thornridge High School
80083140262002,West Carroll Primary
70162050170003,Thornwood High School
80083990262001,Chadwick Elem School
70162060170001,Bloom High School
80083990262002,Milledgeville Elem School
70162060170002,Bloom Trail High School
80431190222002,East Dubuque Elem School
70162100170001,Lemont Twp High School
80431200222002,Galena Primary School
70162150170001,Thornton Fractnl No High School
80432060262002,Stockton Elem School
70162150170002,Thornton Fractnl So High School
80432100262003,River Ridge Elementary School
70162170160001,Argo Community High School
80432110262001,Scales Mound Elem School
70162180160001,DD Eisenhower High Sch (Campus)
90101370022002,Eastlawn Elem School
70162180160004,H L Richards High Sch(Campus)
90101370022006,Northview Elem School
70162180160007,A B Shepard High Sch (Campus)
90101370022007,Pleasant Acres Elem School
70162200170001,Reavis High School
90101420042001,Ludlow Elementary School
70162270170001,Rich East Campus High School
80891450222004,Center Elem School
70162270170002,Rich Central Campus High School
80891450222005,Lincoln-Douglas Elementary School
70162270170003,Rich South Campus High School
80891450222006,Empire Elem School
70162280160001,Bremen High School
80891450222012,Taylor Park Elem School
70162280160002,Tinley Park High School
80892000262001,Pearl City Elementary School
70162280160003,Hillcrest High School
80892020262003,Lena Elem School
70162280160004,Oak Forest High School
80892030262003,Orangeville Elem School
70162290160001,Oak Lawn Comm High School
90100030262003,Lincoln Trail Elem School
70162300130001,Carl Sandburg High School
90100030262004,Sangamon Elem School
70162300130002,Amos Alonzo Stagg High School
90100030262005,Middletown Prarie Elementary
70162300130003,Victor J Andrew High School
90100070261005,Unity Jr High School
70162310160001,Evergreen Park High School
