schl_name,dist_name,school_rank_composite,school_rank_ela,school_rank_math,gr11_schl_ttl_scale_score_sat_2017_composite,gr11_schl_avg_scale_score_in_ela_sat_2017_ela,gr11_schl_avg_scale_score_in_math_sat_2017_math,gr11_dist_ttl_scale_score_sat_2017_composite,gr11_dist_avg_scale_score_in_ela_sat_2017_ela,gr11_dist_avg_scale_score_in_math_sat_2017_math,district_rank_composite,district_rank_ela,district_rank_math
Noble St Chtr-UIC College Prep,City of Chicago SD 299,87,88,97,1073.4,540.6,532.8,956.1,483.7,472.5,406,406,393
Princeville High School,Princeville CUSD 326,87,115,77,1073.4,532.4,541,1073.4,532.4,541,76,101,70
Orion High School,Orion CUSD 223,89,122,72,1072.9,530.1,542.7,1072.9,530.1,542.7,77,112,63
Columbia High School,Columbia CUSD 4,90,101,89,1071.8,537.3,534.5,1071.8,537.3,534.5,81,88,82
Grayslake North High School,Grayslake CHSD 127,91,102,92,1071.5,537.2,534.3,1089.2,548.5,540.7,62,53,71
Antioch Comm High School,CHSD 117,92,92,102,1070.6,538.9,531.7,1072.2,539.9,532.3,79,81,88
Crystal Lake Central High School,CHSD 155,93,108,96,1068.6,535.5,533.1,1101.1,550,551.1,47,47,46
Byron High School 9-12,Byron CUSD 226,94,112,86,1067.9,532.8,535.1,1069.4,534.4,535,82,94,80
Carl Sandburg High School,Cons HSD 230,95,111,89,1067.6,533.1,534.5,1047,521.4,525.6,125,147,110
Kaneland Senior High School,Kaneland CUSD 302,95,106,102,1067.6,535.9,531.7,1067.6,535.9,531.7,86,90,95
Macomb Senior High School,Macomb CUSD 185,97,85,113,1067.5,540.9,526.6,1067.5,540.9,526.6,87,77,104
Dwight High School,Dwight Twp HSD 230,98,152,69,1067.4,523.5,543.8,1064.2,521.7,542.5,92,146,64
Triad High School,Triad CUSD 2,99,145,74,1066.4,524.4,542,1066.4,524.4,542,88,131,66
River Ridge High School,River Ridge CUSD 210,100,250,45,1065.3,508.1,557.2,1065.3,508.1,557.2,89,224,32
Devry Advantage Academy High Schl,City of Chicago SD 299,101,96,111,1064.9,538,526.8,956.1,483.7,472.5,406,406,393
Bartlett High School,SD U-46,101,96,110,1064.9,538,527,979.5,493.2,486.2,321,336,310
Illini Bluffs High School,Illini Bluffs CUSD 327,103,121,89,1064.8,530.3,534.5,1064.8,530.3,534.5,90,111,82
Rockridge High School,Rockridge CUSD 300,103,85,123,1064.8,540.9,523.9,1064.8,540.9,523.9,90,77,119
Hoffman Estates High School,Township HSD 211,105,131,85,1063.4,527.7,535.8,1093,542.2,550.8,55,67,52
Oswego East High School,CUSD 308,106,117,104,1063,531.5,531.5,1057.6,528.8,528.8,106,114,101
Johnsburg High School,Johnsburg CUSD 12,107,90,130,1062.3,539.5,522.7,1062.3,539.5,522.7,97,83,124
Kansas High School,Kansas CUSD 3,108,71,146,1062.2,544.4,517.8,1062.2,544.4,517.8,98,61,141
Mt Zion High School,Mt Zion CUSD 3,109,107,115,1061.7,535.7,526,1061.7,535.7,526,99,91,106
Warren Township High School,Warren Twp HSD 121,110,105,120,1061.4,536.1,525.3,1059.1,534.9,524.2,104,93,114
Marengo High School,Marengo CHSD 154,111,118,107,1060.5,531.4,529.1,1060.5,531.4,529.1,100,107,100
